epoch, train_loss, test_loss
1, 0.3092, 0.2995
2, 0.2761, 0.2869
3, 0.2714, 0.2844
4, 0.2677, 0.2814
5, 0.2639, 0.2764
6, 0.2609, 0.2744
7, 0.2595, 0.2740
8, 0.2587, 0.2731
9, 0.2580, 0.2727
10, 0.2575, 0.2719
