epoch, train_loss, test_loss
1, 0.3519, 0.3419
2, 0.3152, 0.2987
3, 0.2788, 0.2829
4, 0.2720, 0.2833
5, 0.2688, 0.2830
6, 0.2658, 0.2787
7, 0.2622, 0.2782
8, 0.2631, 0.2764
9, 0.2606, 0.2762
10, 0.2605, 0.2760
