epoch, train_loss, test_loss
1, 0.0183, 0.0166
2, 0.0082, 0.0076
3, 0.0058, 0.0062
4, 0.0041, 0.0091
5, 0.0032, 0.0057
6, 0.0050, 0.0069
7, 0.0021, 0.0045
8, 0.0022, 0.0040
9, 0.0038, 0.0131
10, 0.0036, 0.0045
