epoch, train_loss, test_loss
1, 0.3403, 0.3185
2, 0.3147, 0.3115
3, 0.3081, 0.3056
4, 0.3037, 0.3029
5, 0.3013, 0.3014
6, 0.3003, 0.3007
7, 0.2996, 0.3001
8, 0.2990, 0.2995
9, 0.2986, 0.2992
10, 0.2982, 0.2989
11, 0.2978, 0.2984
12, 0.2974, 0.2982
13, 0.2972, 0.2980
14, 0.2970, 0.2979
15, 0.2968, 0.2977
16, 0.2967, 0.2978
17, 0.2966, 0.2976
18, 0.2965, 0.2975
19, 0.2964, 0.2974
20, 0.2963, 0.2974
